C_l_hyaw	C_l_hrol	C_l_hpit	C_l_knee	C_l_apit	C_r_hyaw	C_r_hrol	C_r_hpit	C_r_knee	C_r_apit	P_l_hyaw	P_l_hrol	P_l_hpit	P_l_knee	P_l_apit	P_r_hyaw	P_r_hrol	P_r_hpit	P_r_knee	P_r_apit	V_l_hyaw	V_l_hrol	V_l_hpit	V_l_knee	V_l_apit	V_r_hyaw	V_r_hrol	V_r_hpit	V_r_knee	V_r_apit	T_l_hyaw	T_l_hrol	T_l_hpit	T_l_knee	T_l_apit	T_r_hyaw	T_r_hrol	T_r_hpit	T_r_knee	T_r_apit	rol	pit	yaw	rol_rate	pit_rate	yaw_rate	x_acc	y_acc	z_acc	w_quat	x_quat	y_quat	z_quat	
0.526233	0.242803	-1.388572	1.225570	-1.102151	-0.543224	-0.237592	1.341548	-1.190013	1.098600	0.525266	0.242558	-1.392206	1.225945	-1.102214	-0.542996	-0.237198	1.341311	-1.189813	1.098592	-0.244314	-0.052718	-0.680640	0.070410	-0.075998	0.003095	0.044974	-0.142885	0.030303	-0.003872	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.050987	-0.127676	-2.655531	-0.049717	0.012551	0.006319	1.270456	0.585828	9.680804	1.000000	0.000000	0.000000	0.000000	
0.516815	0.236837	-1.387802	1.230856	-1.098892	-0.539191	-0.250049	1.354966	-1.213765	1.213401	0.523885	0.242049	-1.397014	1.227157	-1.102176	-0.542763	-0.236308	1.340230	-1.189323	1.098592	-0.062817	-0.034352	-0.270463	0.031468	-0.025048	0.024737	0.053352	-0.077102	-0.035356	-0.007366	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.050296	-0.127545	-2.655567	-0.040809	0.038529	-0.008244	1.883844	0.725260	9.457778	1.000000	0.000000	0.000000	0.000000	
0.511826	0.230337	-1.374997	1.219213	-1.084160	-0.539896	-0.258736	1.367063	-1.224134	1.318385	0.522567	0.241632	-1.400593	1.228902	-1.102095	-0.542038	-0.235815	1.340208	-1.189710	1.098592	-0.184253	-0.083697	-0.211997	0.121794	0.039371	0.037370	0.009988	0.096979	-0.143121	-0.018185	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.049747	-0.126455	-2.654978	-0.028284	0.088624	0.068721	1.034038	0.677630	9.591660	1.000000	0.000000	0.000000	0.000000	
0.507825	0.226968	-1.372941	1.219277	-1.106820	-0.529568	-0.264034	1.352735	-1.233392	1.352435	0.520413	0.240135	-1.403465	1.231141	-1.100965	-0.541093	-0.236411	1.341439	-1.190272	1.138069	-0.147542	-0.124691	-0.143337	0.102910	0.213315	0.056081	-0.062978	0.082980	-0.021291	3.110934	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.048933	-0.125780	-2.653932	-0.041495	0.016408	0.056492	1.771945	0.098707	9.125989	1.000000	0.000000	0.000000	0.000000	
0.501182	0.233755	-1.407763	1.186596	-1.217247	-0.510119	-0.253992	1.281177	-1.293215	1.292455	0.518771	0.238325	-1.406560	1.232800	-1.099091	-0.538263	-0.237282	1.340716	-1.192784	1.180133	-0.213663	-0.177645	-0.269077	0.094042	-0.083357	0.242903	-0.097028	-0.110349	-0.270831	2.921339	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.048467	-0.124993	-2.653520	0.000041	0.092592	-0.033800	0.943136	0.026343	9.695408	1.000000	0.000000	0.000000	0.000000	
0.488386	0.238846	-1.480875	1.117687	-1.378126	-0.505800	-0.214856	1.134166	-1.414972	1.096521	0.516528	0.236137	-1.410208	1.232551	-1.106252	-0.533335	-0.237739	1.332817	-1.199078	1.217505	-0.188869	-0.103842	-0.752751	-0.374455	-1.728725	0.296482	-0.020172	-1.476681	-1.150745	1.590277	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.048456	-0.124168	-2.654590	-0.008848	-0.047349	-0.100527	0.357646	0.513971	10.414578	1.000000	0.000000	0.000000	0.000000	
0.480323	0.239792	-1.514090	1.081205	-1.406559	-0.523282	-0.191470	1.018424	-1.504909	0.906384	0.514649	0.234900	-1.426738	1.226006	-1.135287	-0.529659	-0.236101	1.314055	-1.226630	1.226022	-0.161962	-0.023180	-2.050407	-1.321630	-4.339494	0.134337	0.236441	-4.000223	-2.994022	-1.878918	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.048499	-0.124981	-2.655738	0.007159	-0.108789	-0.020094	1.332717	0.967553	10.082071	1.000000	0.000000	0.000000	0.000000	
0.484364	0.235279	-1.475769	1.106631	-1.277850	-0.523436	-0.225942	1.044223	-1.438374	0.909807	0.511487	0.234741	-1.450909	1.203566	-1.191596	-0.531905	-0.231606	1.250955	-1.289477	1.186358	-0.288388	0.020946	-2.169704	-2.100316	-3.975927	-0.503032	0.400524	-4.643415	-5.073220	-5.282755	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.048330	-0.125688	-2.655246	0.010484	0.051526	0.133495	0.470671	0.955722	10.005425	1.000000	0.000000	0.000000	0.000000	
0.491298	0.251105	-1.455997	1.091853	-1.154492	-0.545606	-0.244616	1.084456	-1.354555	1.057294	0.509836	0.234669	-1.470283	1.172687	-1.239693	-0.537855	-0.227976	1.197623	-1.338203	1.127923	-0.046287	-0.026986	-0.743905	-1.058012	-1.657350	-0.343432	0.037726	-3.092035	-3.176891	-4.028377	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.048475	-0.126016	-2.651677	0.089953	-0.243802	0.430161	-0.486241	1.936439	9.286828	1.000000	0.000000	0.000000	0.000000	
0.500529	0.264722	-1.447499	1.088092	-1.064110	-0.574231	-0.240051	1.126139	-1.283135	1.203120	0.509700	0.234986	-1.482882	1.158684	-1.245702	-0.542389	-0.227622	1.162989	-1.364233	1.085750	-0.001139	0.070584	-0.678097	-0.611798	1.313869	-0.194866	-0.086958	-1.561982	0.069660	-0.730863	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.048860	-0.130125	-2.643804	0.051145	-0.278615	0.644407	0.952225	1.600298	9.227145	1.000000	0.000000	0.000000	0.000000	
