l_f	r_f	l_hyaw_out	l_hrol_out	l_hpit_out	l_knee_out	l_apit_out	r_hyaw_out	r_hrol_out	r_hpit_out	r_knee_out	r_apit_out	vx_cmd	yr_cmd	rol	pit	rol_rate	pit_rate	yaw_rate	C_l_hyaw	C_l_hrol	C_l_hpit	C_l_knee	C_l_apit	C_r_hyaw	C_r_hrol	C_r_hpit	C_r_knee	C_r_apit	E_l_hyaw	E_l_hrol	E_l_hpit	E_l_knee	E_l_apit	E_r_hyaw	E_r_hrol	E_r_hpit	E_r_knee	E_r_apit	V_l_hyaw	V_l_hrol	V_l_hpit	V_l_knee	V_l_apit	V_r_hyaw	V_r_hrol	V_r_hpit	V_r_knee	V_r_apit	l_sin	r_sin	l_cos	r_cos	l_pf	r_pf	vx_cmd	yr_cmd	rol	pit	rol_rate	pit_rate	yaw_rate	C_l_hyaw	C_l_hrol	C_l_hpit	C_l_knee	C_l_apit	C_r_hyaw	C_r_hrol	C_r_hpit	C_r_knee	C_r_apit	E_l_hyaw	E_l_hrol	E_l_hpit	E_l_knee	E_l_apit	E_r_hyaw	E_r_hrol	E_r_hpit	E_r_knee	E_r_apit	V_l_hyaw	V_l_hrol	V_l_hpit	V_l_knee	V_l_apit	V_r_hyaw	V_r_hrol	V_r_hpit	V_r_knee	V_r_apit	l_sin	r_sin	l_cos	r_cos	l_pf	r_pf	vx_cmd	yr_cmd	rol	pit	rol_rate	pit_rate	yaw_rate	C_l_hyaw	C_l_hrol	C_l_hpit	C_l_knee	C_l_apit	C_r_hyaw	C_r_hrol	C_r_hpit	C_r_knee	C_r_apit	E_l_hyaw	E_l_hrol	E_l_hpit	E_l_knee	E_l_apit	E_r_hyaw	E_r_hrol	E_r_hpit	E_r_knee	E_r_apit	V_l_hyaw	V_l_hrol	V_l_hpit	V_l_knee	V_l_apit	V_r_hyaw	V_r_hrol	V_r_hpit	V_r_knee	V_r_apit	l_sin	r_sin	l_cos	r_cos	l_pf	r_pf	
1.883837	2.945251	-0.666371	-0.523546	0.454186	-0.347701	-0.017990	0.172017	-0.808609	1.086395	-1.916413	7.999907	0.000000	0.000000	0.051858	-0.127931	-0.021222	0.006667	0.004679	-0.023886	-0.007233	-0.038766	0.025698	-0.002162	0.006810	0.012470	-0.008494	0.010037	-0.001407	-0.003883	0.002085	-0.001619	-0.004293	0.000758	-0.000459	0.000743	0.001900	-0.000571	-0.003824	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.051606	-0.127851	-0.021770	0.006801	0.004805	-0.023885	-0.007239	-0.038765	0.025702	-0.002165	0.006810	0.012470	-0.008495	0.010041	-0.001408	-0.000039	0.000790	-0.003652	-0.002872	0.000774	-0.000395	0.000772	0.000190	-0.001104	-0.003872	-0.000001	0.000006	-0.000001	-0.000004	0.000003	0.000000	-0.000000	0.000001	-0.000004	0.000001	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.050987	-0.127676	-0.024858	0.006276	0.003160	-0.024734	-0.007442	-0.042206	0.025945	-0.002214	0.007004	0.012802	-0.008689	0.010187	-0.001408	-0.024431	-0.005272	-0.068064	0.007041	-0.007600	0.000309	0.004497	-0.014288	0.003030	-0.000387	0.000967	0.000246	0.003634	-0.000375	0.000063	-0.000228	-0.000394	0.000237	-0.000200	0.000008	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	
1.947021	2.972269	-0.633053	-0.401015	0.051751	0.355337	0.219106	0.271034	-0.837300	0.901945	-1.596545	7.716672	-0.000000	-0.000000	0.051606	-0.127851	-0.021770	0.006801	0.004805	-0.023885	-0.007239	-0.038765	0.025702	-0.002165	0.006810	0.012470	-0.008495	0.010041	-0.001408	-0.000039	0.000790	-0.003652	-0.002872	0.000774	-0.000395	0.000772	0.000190	-0.001104	-0.003872	-0.000001	0.000006	-0.000001	-0.000004	0.000003	0.000000	-0.000000	0.000001	-0.000004	0.000001	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.050987	-0.127676	-0.024858	0.006276	0.003160	-0.024734	-0.007442	-0.042206	0.025945	-0.002214	0.007004	0.012802	-0.008689	0.010187	-0.001408	-0.024431	-0.005272	-0.068064	0.007041	-0.007600	0.000309	0.004497	-0.014288	0.003030	-0.000387	0.000967	0.000246	0.003634	-0.000375	0.000063	-0.000228	-0.000394	0.000237	-0.000200	0.000008	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.050296	-0.127545	-0.020405	0.019265	-0.004122	-0.026115	-0.007951	-0.047014	0.027157	-0.002176	0.007237	0.013692	-0.009770	0.010677	-0.001408	-0.006282	-0.003435	-0.027046	0.003147	-0.002505	0.002474	0.005335	-0.007710	-0.003536	-0.000737	0.002348	0.000755	0.008441	-0.001587	0.000024	-0.000460	-0.001284	0.001318	-0.000690	0.000008	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	
1.878752	2.759968	-0.288490	-0.375829	0.740438	-0.673191	0.851789	-0.040761	-0.502289	0.699452	-0.599535	6.070222	-0.000000	-0.000000	0.050987	-0.127676	-0.024858	0.006276	0.003160	-0.024734	-0.007442	-0.042206	0.025945	-0.002214	0.007004	0.012802	-0.008689	0.010187	-0.001408	-0.024431	-0.005272	-0.068064	0.007041	-0.007600	0.000309	0.004497	-0.014288	0.003030	-0.000387	0.000967	0.000246	0.003634	-0.000375	0.000063	-0.000228	-0.000394	0.000237	-0.000200	0.000008	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.050296	-0.127545	-0.020405	0.019265	-0.004122	-0.026115	-0.007951	-0.047014	0.027157	-0.002176	0.007237	0.013692	-0.009770	0.010677	-0.001408	-0.006282	-0.003435	-0.027046	0.003147	-0.002505	0.002474	0.005335	-0.007710	-0.003536	-0.000737	0.002348	0.000755	0.008441	-0.001587	0.000024	-0.000460	-0.001284	0.001318	-0.000690	0.000008	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.049747	-0.126455	-0.014142	0.044312	0.034360	-0.027433	-0.008368	-0.050593	0.028902	-0.002095	0.007962	0.014185	-0.009792	0.010290	-0.001408	-0.018425	-0.008370	-0.021200	0.012179	0.003937	0.003737	0.000999	0.009698	-0.014312	-0.001818	-0.005752	-0.004794	0.012790	0.001954	0.003204	0.002847	-0.014234	0.014759	-0.024055	0.114809	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	
2.692383	2.663337	-0.315133	-0.265463	0.161948	0.004992	-1.785076	0.813616	-0.417337	-1.128720	-0.729311	2.682368	-0.000000	-0.000000	0.050296	-0.127545	-0.020405	0.019265	-0.004122	-0.026115	-0.007951	-0.047014	0.027157	-0.002176	0.007237	0.013692	-0.009770	0.010677	-0.001408	-0.006282	-0.003435	-0.027046	0.003147	-0.002505	0.002474	0.005335	-0.007710	-0.003536	-0.000737	0.002348	0.000755	0.008441	-0.001587	0.000024	-0.000460	-0.001284	0.001318	-0.000690	0.000008	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.049747	-0.126455	-0.014142	0.044312	0.034360	-0.027433	-0.008368	-0.050593	0.028902	-0.002095	0.007962	0.014185	-0.009792	0.010290	-0.001408	-0.018425	-0.008370	-0.021200	0.012179	0.003937	0.003737	0.000999	0.009698	-0.014312	-0.001818	-0.005752	-0.004794	0.012790	0.001954	0.003204	0.002847	-0.014234	0.014759	-0.024055	0.114809	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.048933	-0.125780	-0.020747	0.008204	0.028246	-0.029587	-0.009865	-0.053465	0.031141	-0.000965	0.008907	0.013589	-0.008561	0.009728	0.038069	-0.014754	-0.012469	-0.014334	0.010291	0.021332	0.005608	-0.006298	0.008298	-0.002129	0.311093	-0.008587	-0.009797	0.028468	-0.011928	0.016805	0.001197	-0.022325	0.025624	-0.033862	0.180317	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	
3.177184	2.936914	-0.442213	0.451795	-2.317927	-2.175405	-7.350503	1.294649	0.668394	-4.763263	-3.982110	-3.992590	-0.000000	-0.000000	0.049747	-0.126455	-0.014142	0.044312	0.034360	-0.027433	-0.008368	-0.050593	0.028902	-0.002095	0.007962	0.014185	-0.009792	0.010290	-0.001408	-0.018425	-0.008370	-0.021200	0.012179	0.003937	0.003737	0.000999	0.009698	-0.014312	-0.001818	-0.005752	-0.004794	0.012790	0.001954	0.003204	0.002847	-0.014234	0.014759	-0.024055	0.114809	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.048933	-0.125780	-0.020747	0.008204	0.028246	-0.029587	-0.009865	-0.053465	0.031141	-0.000965	0.008907	0.013589	-0.008561	0.009728	0.038069	-0.014754	-0.012469	-0.014334	0.010291	0.021332	0.005608	-0.006298	0.008298	-0.002129	0.311093	-0.008587	-0.009797	0.028468	-0.011928	0.016805	0.001197	-0.022325	0.025624	-0.033862	0.180317	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.048467	-0.124993	0.000021	0.046296	-0.016900	-0.031229	-0.011675	-0.056560	0.032800	0.000909	0.011737	0.012718	-0.009284	0.007216	0.080133	-0.021366	-0.017765	-0.026908	0.009404	-0.008336	0.024290	-0.009703	-0.011035	-0.027083	0.292134	-0.010945	-0.011357	0.033619	-0.013524	-0.007729	0.008695	-0.026752	0.012019	-0.040608	0.172302	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	
3.297873	3.264400	-0.831730	0.330904	-4.752168	-4.478976	-10.456881	0.280713	2.543782	-9.555443	-7.913960	-12.735381	-0.000000	-0.000000	0.048933	-0.125780	-0.020747	0.008204	0.028246	-0.029587	-0.009865	-0.053465	0.031141	-0.000965	0.008907	0.013589	-0.008561	0.009728	0.038069	-0.014754	-0.012469	-0.014334	0.010291	0.021332	0.005608	-0.006298	0.008298	-0.002129	0.311093	-0.008587	-0.009797	0.028468	-0.011928	0.016805	0.001197	-0.022325	0.025624	-0.033862	0.180317	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.048467	-0.124993	0.000021	0.046296	-0.016900	-0.031229	-0.011675	-0.056560	0.032800	0.000909	0.011737	0.012718	-0.009284	0.007216	0.080133	-0.021366	-0.017765	-0.026908	0.009404	-0.008336	0.024290	-0.009703	-0.011035	-0.027083	0.292134	-0.010945	-0.011357	0.033619	-0.013524	-0.007729	0.008695	-0.026752	0.012019	-0.040608	0.172302	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.048456	-0.124168	-0.004424	-0.023674	-0.050264	-0.033472	-0.013863	-0.060208	0.032551	-0.006252	0.016665	0.012261	-0.017183	0.000922	0.117505	-0.018887	-0.010384	-0.075275	-0.037446	-0.172872	0.029648	-0.002017	-0.147668	-0.115074	0.159028	-0.015346	-0.002382	0.002445	-0.045955	-0.110994	0.023216	-0.016254	-0.051640	-0.094138	0.074950	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	
3.086888	3.217526	-0.552883	0.064904	-2.277512	-2.501463	-1.949646	-1.198688	1.603560	-7.936250	-6.166842	-13.037335	-0.000000	-0.000000	0.048467	-0.124993	0.000021	0.046296	-0.016900	-0.031229	-0.011675	-0.056560	0.032800	0.000909	0.011737	0.012718	-0.009284	0.007216	0.080133	-0.021366	-0.017765	-0.026908	0.009404	-0.008336	0.024290	-0.009703	-0.011035	-0.027083	0.292134	-0.010945	-0.011357	0.033619	-0.013524	-0.007729	0.008695	-0.026752	0.012019	-0.040608	0.172302	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.048456	-0.124168	-0.004424	-0.023674	-0.050264	-0.033472	-0.013863	-0.060208	0.032551	-0.006252	0.016665	0.012261	-0.017183	0.000922	0.117505	-0.018887	-0.010384	-0.075275	-0.037446	-0.172872	0.029648	-0.002017	-0.147668	-0.115074	0.159028	-0.015346	-0.002382	0.002445	-0.045955	-0.110994	0.023216	-0.016254	-0.051640	-0.094138	0.074950	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.048499	-0.124981	0.003580	-0.054395	-0.010047	-0.035351	-0.015100	-0.076738	0.026006	-0.035287	0.020341	0.013899	-0.035945	-0.026630	0.126022	-0.016196	-0.002318	-0.205041	-0.132163	-0.433949	0.013434	0.023644	-0.400022	-0.299402	-0.187892	-0.026263	0.003946	-0.054137	-0.108320	-0.242839	0.023859	0.021245	-0.179889	-0.188342	-0.129501	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	
3.166660	2.890689	0.269222	-0.300697	2.552910	1.693817	8.574361	-0.010254	-2.296424	1.718649	4.432407	0.227975	-0.000000	-0.000000	0.048456	-0.124168	-0.004424	-0.023674	-0.050264	-0.033472	-0.013863	-0.060208	0.032551	-0.006252	0.016665	0.012261	-0.017183	0.000922	0.117505	-0.018887	-0.010384	-0.075275	-0.037446	-0.172872	0.029648	-0.002017	-0.147668	-0.115074	0.159028	-0.015346	-0.002382	0.002445	-0.045955	-0.110994	0.023216	-0.016254	-0.051640	-0.094138	0.074950	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.048499	-0.124981	0.003580	-0.054395	-0.010047	-0.035351	-0.015100	-0.076738	0.026006	-0.035287	0.020341	0.013899	-0.035945	-0.026630	0.126022	-0.016196	-0.002318	-0.205041	-0.132163	-0.433949	0.013434	0.023644	-0.400022	-0.299402	-0.187892	-0.026263	0.003946	-0.054137	-0.108320	-0.242839	0.023859	0.021245	-0.179889	-0.188342	-0.129501	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.048330	-0.125688	0.005242	0.025763	0.066748	-0.038513	-0.015259	-0.100909	0.003566	-0.091596	0.018095	0.018394	-0.099045	-0.089477	0.086358	-0.028839	0.002095	-0.216970	-0.210032	-0.397593	-0.050303	0.040052	-0.464342	-0.507322	-0.528276	-0.031164	0.005051	-0.063181	-0.122360	-0.214963	0.008623	0.040136	-0.232531	-0.215432	-0.279974	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	
2.787041	2.953118	0.462565	1.055710	1.318889	-0.985778	8.228785	-1.478927	-1.245682	2.683858	5.591276	9.838404	-0.000000	-0.000000	0.048499	-0.124981	0.003580	-0.054395	-0.010047	-0.035351	-0.015100	-0.076738	0.026006	-0.035287	0.020341	0.013899	-0.035945	-0.026630	0.126022	-0.016196	-0.002318	-0.205041	-0.132163	-0.433949	0.013434	0.023644	-0.400022	-0.299402	-0.187892	-0.026263	0.003946	-0.054137	-0.108320	-0.242839	0.023859	0.021245	-0.179889	-0.188342	-0.129501	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.048330	-0.125688	0.005242	0.025763	0.066748	-0.038513	-0.015259	-0.100909	0.003566	-0.091596	0.018095	0.018394	-0.099045	-0.089477	0.086358	-0.028839	0.002095	-0.216970	-0.210032	-0.397593	-0.050303	0.040052	-0.464342	-0.507322	-0.528276	-0.031164	0.005051	-0.063181	-0.122360	-0.214963	0.008623	0.040136	-0.232531	-0.215432	-0.279974	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.048475	-0.126016	0.044976	-0.121901	0.215081	-0.040164	-0.015331	-0.120283	-0.027313	-0.139693	0.012145	0.022024	-0.152377	-0.138203	0.027923	-0.004629	-0.002699	-0.074390	-0.105801	-0.165735	-0.034343	0.003773	-0.309204	-0.317689	-0.402838	-0.025472	0.000609	-0.005485	-0.066056	-0.038156	0.014419	0.002035	-0.153400	-0.100171	-0.218116	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	
2.688133	3.090025	0.615304	0.907710	0.566495	-0.250738	6.024632	-1.908064	0.304282	2.778477	4.760726	9.720422	-0.000000	-0.000000	0.048330	-0.125688	0.005242	0.025763	0.066748	-0.038513	-0.015259	-0.100909	0.003566	-0.091596	0.018095	0.018394	-0.099045	-0.089477	0.086358	-0.028839	0.002095	-0.216970	-0.210032	-0.397593	-0.050303	0.040052	-0.464342	-0.507322	-0.528276	-0.031164	0.005051	-0.063181	-0.122360	-0.214963	0.008623	0.040136	-0.232531	-0.215432	-0.279974	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.048475	-0.126016	0.044976	-0.121901	0.215081	-0.040164	-0.015331	-0.120283	-0.027313	-0.139693	0.012145	0.022024	-0.152377	-0.138203	0.027923	-0.004629	-0.002699	-0.074390	-0.105801	-0.165735	-0.034343	0.003773	-0.309204	-0.317689	-0.402838	-0.025472	0.000609	-0.005485	-0.066056	-0.038156	0.014419	0.002035	-0.153400	-0.100171	-0.218116	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.048860	-0.130125	0.025572	-0.139308	0.322203	-0.040300	-0.015014	-0.132882	-0.041316	-0.145702	0.007611	0.022378	-0.187011	-0.164233	-0.014250	-0.000114	0.007058	-0.067810	-0.061180	0.131387	-0.019487	-0.008696	-0.156198	0.006966	-0.073086	-0.018402	0.016119	0.026885	-0.066831	0.091210	-0.003217	-0.016994	-0.078533	0.009678	-0.028456	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	
